Edge TPU Compiler version 16.0.384591198
Input: /content/victim_ball_detection_saved_model/victim_ball_detection_full_integer_quant.tflite
Output: /content/victim_ball_detection_saved_model/victim_ball_detection_full_integer_quant_edgetpu.tflite

Operator                       Count      Status

QUANTIZE                       1          Mapped to Edge TPU
QUANTIZE                       1          More than one subgraph is not supported
STRIDED_SLICE                  2          Operation is otherwise supported, but not mapped due to some unspecified limitation
STRIDED_SLICE                  16         Mapped to Edge TPU
STRIDED_SLICE                  2          More than one subgraph is not supported
SOFTMAX                        1          More than one subgraph is not supported
ADD                            2          More than one subgraph is not supported
ADD                            6          Mapped to Edge TPU
PAD                            7          Mapped to Edge TPU
TRANSPOSE                      2          Mapped to Edge TPU
TRANSPOSE                      2          Operation is otherwise supported, but not mapped due to some unspecified limitation
LOGISTIC                       1          More than one subgraph is not supported
LOGISTIC                       57         Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        2          Mapped to Edge TPU
MUL                            2          More than one subgraph is not supported
MUL                            57         Mapped to Edge TPU
CONV_2D                        63         Mapped to Edge TPU
CONV_2D                        1          More than one subgraph is not supported
RESHAPE                        2          More than one subgraph is not supported
RESHAPE                        2          Mapped to Edge TPU
RESHAPE                        2          Operation is otherwise supported, but not mapped due to some unspecified limitation
MAX_POOL_2D                    3          Mapped to Edge TPU
CONCATENATION                  16         Mapped to Edge TPU
CONCATENATION                  1          Operation is otherwise supported, but not mapped due to some unspecified limitation
CONCATENATION                  1          More than one subgraph is not supported
SUB                            2          More than one subgraph is not supported
