Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_D5.0mm,108.9,-106.765,90.0,top
D2,LED,LED_D5.0mm,115.4,-106.765,90.0,top
D3,LED,LED_D5.0mm,121.9,-106.765,90.0,top
D4,LED,LED_D5.0mm,128.4,-106.765,90.0,top
D5,LED,LED_D5.0mm,134.9,-106.765,90.0,top
D6,LED,LED_D5.0mm,141.4,-106.765,90.0,top
J1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,103.0,-106.735,180.0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,147.0,-106.735,180.0,top
R1,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,109.125,-102.0,0.0,top
R2,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,115.625,-102.0,0.0,top
R3,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,122.125,-102.0,0.0,top
R4,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,128.625,-102.0,0.0,top
R5,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,135.125,-102.0,0.0,top
R6,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,141.625,-102.0,0.0,top
