Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_D5.0mm,8.9,-35.765,90.0,top
D1,LED,LED_D5.0mm,8.9,-49.265,90.0,top
D1,LED,LED_D5.0mm,8.9,-89.765,90.0,top
D1,LED,LED_D5.0mm,8.9,-22.265,90.0,top
D1,LED,LED_D5.0mm,8.9,-62.765,90.0,top
D1,LED,LED_D5.0mm,8.9,-76.265,90.0,top
D1,LED,LED_D5.0mm,8.9,-8.765,90.0,top
D2,LED,LED_D5.0mm,15.4,-22.265,90.0,top
D2,LED,LED_D5.0mm,15.4,-89.765,90.0,top
D2,LED,LED_D5.0mm,15.4,-8.765,90.0,top
D2,LED,LED_D5.0mm,15.4,-35.765,90.0,top
D2,LED,LED_D5.0mm,15.4,-76.265,90.0,top
D2,LED,LED_D5.0mm,15.4,-49.265,90.0,top
D2,LED,LED_D5.0mm,15.4,-62.765,90.0,top
D3,LED,LED_D5.0mm,21.9,-62.765,90.0,top
D3,LED,LED_D5.0mm,21.9,-49.265,90.0,top
D3,LED,LED_D5.0mm,21.9,-22.265,90.0,top
D3,LED,LED_D5.0mm,21.9,-35.765,90.0,top
D3,LED,LED_D5.0mm,21.9,-76.265,90.0,top
D3,LED,LED_D5.0mm,21.9,-8.765,90.0,top
D3,LED,LED_D5.0mm,21.9,-89.765,90.0,top
D4,LED,LED_D5.0mm,28.4,-76.265,90.0,top
D4,LED,LED_D5.0mm,28.4,-62.765,90.0,top
D4,LED,LED_D5.0mm,28.4,-22.265,90.0,top
D4,LED,LED_D5.0mm,28.4,-49.265,90.0,top
D4,LED,LED_D5.0mm,28.4,-35.765,90.0,top
D4,LED,LED_D5.0mm,28.4,-89.765,90.0,top
D4,LED,LED_D5.0mm,28.4,-8.765,90.0,top
D5,LED,LED_D5.0mm,34.9,-76.265,90.0,top
D5,LED,LED_D5.0mm,34.9,-35.765,90.0,top
D5,LED,LED_D5.0mm,34.9,-22.265,90.0,top
D5,LED,LED_D5.0mm,34.9,-62.765,90.0,top
D5,LED,LED_D5.0mm,34.9,-49.265,90.0,top
D5,LED,LED_D5.0mm,34.9,-8.765,90.0,top
D5,LED,LED_D5.0mm,34.9,-89.765,90.0,top
D6,LED,LED_D5.0mm,41.4,-62.765,90.0,top
D6,LED,LED_D5.0mm,41.4,-35.765,90.0,top
D6,LED,LED_D5.0mm,41.4,-49.265,90.0,top
D6,LED,LED_D5.0mm,41.4,-76.265,90.0,top
D6,LED,LED_D5.0mm,41.4,-22.265,90.0,top
D6,LED,LED_D5.0mm,41.4,-89.765,90.0,top
D6,LED,LED_D5.0mm,41.4,-8.765,90.0,top
J1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,3.0,-35.735,180.0,top
J1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,3.0,-76.235,180.0,top
J1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,3.0,-8.735,180.0,top
J1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,3.0,-49.235,180.0,top
J1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,3.0,-62.735,180.0,top
J1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,3.0,-22.235,180.0,top
J1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,3.0,-89.735,180.0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,47.0,-89.735,180.0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,47.0,-8.735,180.0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,47.0,-76.235,180.0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,47.0,-62.735,180.0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,47.0,-22.235,180.0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,47.0,-49.235,180.0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,47.0,-35.735,180.0,top
R1,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,9.125,-4.0,0.0,top
R1,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,9.125,-85.0,0.0,top
R1,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,9.125,-71.5,0.0,top
R1,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,9.125,-44.5,0.0,top
R1,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,9.125,-58.0,0.0,top
R1,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,9.125,-17.5,0.0,top
R1,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,9.125,-31.0,0.0,top
R2,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,15.625,-17.5,0.0,top
R2,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,15.625,-4.0,0.0,top
R2,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,15.625,-71.5,0.0,top
R2,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,15.625,-85.0,0.0,top
R2,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,15.625,-44.5,0.0,top
R2,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,15.625,-58.0,0.0,top
R2,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,15.625,-31.0,0.0,top
R3,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,22.125,-58.0,0.0,top
R3,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,22.125,-85.0,0.0,top
R3,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,22.125,-31.0,0.0,top
R3,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,22.125,-44.5,0.0,top
R3,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,22.125,-71.5,0.0,top
R3,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,22.125,-17.5,0.0,top
R3,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,22.125,-4.0,0.0,top
R4,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,28.625,-58.0,0.0,top
R4,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,28.625,-17.5,0.0,top
R4,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,28.625,-71.5,0.0,top
R4,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,28.625,-31.0,0.0,top
R4,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,28.625,-44.5,0.0,top
R4,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,28.625,-85.0,0.0,top
R4,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,28.625,-4.0,0.0,top
R5,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,35.125,-44.5,0.0,top
R5,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,35.125,-71.5,0.0,top
R5,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,35.125,-17.5,0.0,top
R5,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,35.125,-31.0,0.0,top
