Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Buzzer1,~,Buzzer-Active,173.25,-124.75,180.0,top
C1,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,132.975112,-100.75,0.0,top
C2,10uF,CP_Radial_D5.0mm_P2.00mm,133.0,-96.432,0.0,top
C3,100nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,183.28,-119.673,180.0,top
C4,10uF,CP_Radial_D5.0mm_P2.00mm,183.342113,-123.991,180.0,top
D1,LED_RGAB,LED_D5.0mm-4_RGB_Staggered_Pins,123.865,-160.262,180.0,top
D2,LED_RGAB,LED_D5.0mm-4_RGB_Staggered_Pins,130.977,-160.262,180.0,top
ESC1,~,ESCs,173.955,-43.157,-90.0,top
ESC2,~,ESCs,161.855,-43.157,-90.0,top
ESC3,~,ESCs,166.771,-144.5,90.0,top
ESC4,~,ESCs,155.25,-144.5,90.0,top
IMU1,~,ICM-20948,136.57,-131.6,90.0,top
J1,Battery & Power SW,Power_Switch_inputt,128.5,-41.5,-90.0,top
J2,GPIO,PinSocket_2x20_P2.54mm_Vertical,162.4,-106.5,270.0,bottom
J3,PCA9685,PCA9685_Breakout,207.003,-61.867,90.0,top
J4,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,126.5,-56.505,180.0,top
J5,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,212.0,-82.35,0.0,top
J6,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,212.0,-41.075,0.0,top
M1,~,PinHeader_Motor_Encoder,187.65,-28.5,90.0,top
M2,~,PinHeader_Motor_Encoder,146.69,-28.5,90.0,top
M3,~,PinHeader_Motor_Encoder,183.3,-159.0,-90.0,top
M4,~,PinHeader_Motor_Encoder,143.0,-159.0,-90.0,top
MotorDriver2,~,DRV8833 Dual Motor Driver,160.63,-83.15,180.0,top
Power1,~,Power_PinHeader_4,160.98,-67.06,0.0,top
R1,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,121.896,-150.275,90.0,top
R10,1.2kΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,153.554,-130.53,0.0,top
R11,1.2kΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,185.896,-33.725,-90.0,top
R12,1.2kΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,192.5,-33.725,-90.0,top
R13,1.2kΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,140.975,-33.725,-90.0,top
R14,1.2kΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,147.325,-33.725,-90.0,top
R15,2kΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,182.594,-33.275,90.0,top
R16,2kΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,189.198,-33.275,90.0,top
R17,2kΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,144.15,-33.275,90.0,top
R18,2kΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,150.5,-33.275,90.0,top
R19,1.2kΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,188.075,-153.775,90.0,top
R2,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,125.0,-150.725,-90.0,top
R20,1.2kΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,178.675,-153.78,90.0,top
R21,1.2kΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,145.325,-154.03,90.0,top
R22,1.2kΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,138.2,-155.3,0.0,top
R23,2kΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,184.9,-154.225,-90.0,top
R24,2kΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,175.5,-154.23,-90.0,top
R25,2kΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,148.5,-154.48,-90.0,top
R26,2kΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,142.15,-154.48,-90.0,top
R3,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,128.119,-150.275,90.0,top
R4,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,131.119,-150.275,90.0,top
R5,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,134.139,-150.725,-90.0,top
R6,220Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,137.187,-150.275,90.0,top
R7,1.2kΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,175.225,-57.0,0.0,top
R8,1.2kΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,163.16,-57.0,0.0,top
R9,1.2kΩ,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,165.374,-130.53,0.0,top
SW1,SW_DIP_x03,SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm,189.04,-133.19,90.0,top
StepDown5V3.2A1,~,Step Down 5V 3.2A,131.37,-65.877,-90.0,top
StepDown5V5A1,~,Step_Down_5V_5A_D24V50F5,131.37,-84.16,-90.0,top
TCA9548A1,~,TCA9548A_Multiplexer_I2C,181.815,-75.105,0.0,top
ToF1,~,ToF_VL53L0X,212.0,-50.19,0.0,top
ToF2,~,ToF_VL53L0X,212.0,-61.81,0.0,top
ToF3,~,ToF_VL53L0X,212.0,-73.31,0.0,top
ToF4,~,ToF_VL53L0X,167.81,-28.5,90.0,top
ToF5,~,ToF_VL53L0X,161.99,-159.0,-90.0,top
U1,Pico,RPi_Pico_SMD_TH,162.864,-106.224,-90.0,top
